SizeRank,Zip,RegionType,StateName,State,City,Metro,CountyName,ZHVI_3mo
0,10025,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,1132864
1,60657,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,490918
2,10023,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,1044671
3,77494,Zip,TX,TX,Katy,Houston-The Woodlands-Sugar Land,Harris County,350547
4,60614,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,633927
5,77449,Zip,TX,TX,Katy,Houston-The Woodlands-Sugar Land,Harris County,202101
6,10002,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,1034938
7,77084,Zip,TX,TX,Houston,Houston-The Woodlands-Sugar Land,Harris County,201124
8,79936,Zip,TX,TX,El Paso,El Paso,El Paso County,146623
9,60640,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,320063
10,11226,Zip,NY,NY,New York,New York-Newark-Jersey City,Kings County,652054
11,10467,Zip,NY,NY,New York,New York-Newark-Jersey City,Bronx County,187733
12,78660,Zip,TX,TX,Pflugerville,Austin-Round Rock,Travis County,310470
13,94109,Zip,CA,CA,San Francisco,San Francisco-Oakland-Hayward,San Francisco County,1144663
15,10016,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,717177
16,37013,Zip,TN,TN,Nashville,Nashville-Davidson--Murfreesboro--Franklin,Davidson County,258236
17,32162,Zip,FL,FL,The Villages,The Villages,Sumter County,293671
18,60647,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,486401
19,11201,Zip,NY,NY,New York,New York-Newark-Jersey City,Kings County,881391
20,11235,Zip,NY,NY,New York,New York-Newark-Jersey City,Kings County,365058
21,11375,Zip,NY,NY,New York,New York-Newark-Jersey City,Queens County,448765
22,90250,Zip,CA,CA,Hawthorne,Los Angeles-Long Beach-Anaheim,Los Angeles County,740082
23,78130,Zip,TX,TX,New Braunfels,San Antonio-New Braunfels,Comal County,255207
24,37211,Zip,TN,TN,Nashville,Nashville-Davidson--Murfreesboro--Franklin,Davidson County,295409
26,10009,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,936996
27,77573,Zip,TX,TX,League City,Houston-The Woodlands-Sugar Land,Galveston County,291803
28,60618,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,491323
29,77584,Zip,TX,TX,Pearland,Houston-The Woodlands-Sugar Land,Brazoria County,281845
30,10011,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,969064
31,20002,Zip,DC,DC,Washington,Washington-Arlington-Alexandria,District of Columbia,738493
