business_accomodation_and_food_services,business_admin_support_and_waste_mngmt,business_agriculture_forestry_fishing_hunting,business_arts_entertain_rec,business_construction,business_education_services,business_finance_and_insurance,business_health_care_social_assit,business_unclassified,business_information,business_mngmt_companies,business_manufacturing,business_oil_extraction,business_other_services,business_profess_scientif_tech_services,business_real_estate_rental_leasing,business_retail,business_transportation_warehousing,business_utilities,business_wholesale_trade,business_zip
40.0,35.0,0.0,10.0,55.0,4.0,13.0,50.0,0.0,7.0,0.0,43.0,0.0,42.0,40.0,14.0,69.0,11.0,0.0,37.0,01001
76.0,10.0,0.0,14.0,26.0,33.0,25.0,70.0,0.0,14.0,0.0,12.0,0.0,74.0,78.0,32.0,56.0,4.0,0.0,11.0,01002
0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,01003
0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01004
11.0,5.0,3.0,0.0,15.0,0.0,4.0,7.0,0.0,0.0,0.0,4.0,0.0,9.0,8.0,0.0,14.0,5.0,0.0,0.0,01005
20.0,16.0,3.0,0.0,36.0,7.0,8.0,25.0,0.0,3.0,0.0,7.0,0.0,22.0,21.0,5.0,25.0,6.0,0.0,13.0,01007
5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,01008
0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01009
4.0,7.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,8.0,10.0,8.0,8.0,3.0,0.0,0.0,01010
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,01011
0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01012
28.0,12.0,0.0,0.0,32.0,3.0,12.0,28.0,0.0,4.0,0.0,27.0,0.0,60.0,17.0,16.0,52.0,14.0,0.0,19.0,01013
74.0,24.0,0.0,7.0,69.0,7.0,29.0,53.0,0.0,9.0,3.0,17.0,0.0,62.0,19.0,25.0,107.0,12.0,0.0,19.0,01020
0.0,4.0,0.0,0.0,3.0,6.0,0.0,8.0,0.0,0.0,0.0,20.0,0.0,0.0,3.0,0.0,0.0,6.0,0.0,6.0,01022
0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,01026
47.0,23.0,0.0,12.0,59.0,9.0,12.0,37.0,0.0,9.0,0.0,30.0,0.0,63.0,45.0,15.0,48.0,4.0,0.0,13.0,01027
34.0,31.0,0.0,8.0,55.0,12.0,43.0,74.0,0.0,4.0,0.0,28.0,0.0,63.0,57.0,24.0,53.0,7.0,0.0,28.0,01028
5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01029
22.0,21.0,0.0,4.0,32.0,0.0,13.0,20.0,0.0,0.0,0.0,5.0,0.0,33.0,16.0,10.0,22.0,7.0,0.0,7.0,01030
4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,01031
0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,4.0,0.0,0.0,0.0,01032
11.0,17.0,0.0,0.0,30.0,0.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,13.0,10.0,4.0,17.0,0.0,0.0,0.0,01033
0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,01034
44.0,11.0,0.0,9.0,22.0,7.0,17.0,40.0,0.0,8.0,0.0,10.0,0.0,29.0,25.0,7.0,71.0,3.0,0.0,7.0,01035
9.0,24.0,0.0,0.0,30.0,0.0,6.0,5.0,0.0,0.0,0.0,4.0,0.0,12.0,7.0,3.0,11.0,0.0,0.0,0.0,01036
0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01037
6.0,8.0,0.0,0.0,13.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,7.0,0.0,7.0,01038
7.0,4.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,01039
93.0,22.0,0.0,12.0,52.0,19.0,41.0,140.0,3.0,9.0,4.0,51.0,0.0,81.0,59.0,36.0,196.0,12.0,0.0,18.0,01040
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,6.0,0.0,0.0,0.0,01041
3.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,6.0,0.0,0.0,0.0,01050
0.0,0.0,0.0,3.0,4.0,0.0,0.0,8.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,01053
0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,3.0,3.0,0.0,0.0,0.0,01054
37.0,28.0,0.0,6.0,85.0,6.0,23.0,29.0,0.0,4.0,0.0,33.0,0.0,46.0,30.0,12.0,48.0,13.0,3.0,9.0,01056
