state,zip,votes_dem,votes_gop,votes_other
AK,99501.0,41.5,46.9,11.6
AK,99502.0,41.5,46.89999999999999,11.6
AK,99503.0,41.5,46.9,11.6
AK,99504.0,41.5,46.9,11.6
AK,99505.0,41.5,46.9,11.6
AK,99506.0,41.5,46.9,11.6
AK,99507.0,41.5,46.9,11.6
AK,99508.0,41.5,46.9,11.6
AK,99509.0,41.5,46.9,11.600000000000001
AK,99510.0,41.5,46.9,11.600000000000001
AK,99511.0,41.5,46.9,11.6
AK,99513.0,,,
AK,99514.0,41.5,46.9,11.6
AK,99515.0,41.5,46.9,11.6
AK,99516.0,41.49999999999999,46.900000000000006,11.6
AK,99517.0,41.5,46.9,11.6
AK,99518.0,41.5,46.9,11.6
AK,99519.0,41.5,46.9,11.6
AK,99520.0,41.5,46.89999999999999,11.599999999999998
AK,99521.0,41.5,46.9,11.6
AK,99522.0,41.5,46.9,11.6
AK,99523.0,41.5,46.9,11.6
AK,99524.0,41.5,46.9,11.600000000000001
AK,99529.0,,,
AK,99530.0,,,
AK,99540.0,41.5,46.9,11.6
AK,99545.0,,,
AK,99546.0,,,
AK,99547.0,,,
AK,99548.0,,,
AK,99549.0,,,
AK,99550.0,,,
AK,99551.0,,,
AK,99552.0,,,
AK,99553.0,,,
AK,99554.0,,,
AK,99555.0,,,
AK,99556.0,26.099999999999994,63.4,10.499999999999998
AK,99557.0,,,
AK,99558.0,,,
AK,99559.0,,,
AK,99561.0,54.99999999999999,22.299999999999997,22.700000000000003
AK,99563.0,,,
AK,99564.0,,,
AK,99565.0,,,
AK,99566.0,,,
AK,99567.0,41.5,46.9,11.6
AK,99568.0,26.1,63.4,10.5
AK,99569.0,,,
AK,99571.0,,,
AK,99572.0,26.1,63.40000000000001,10.5
AK,99573.0,28.300000000000004,57.099999999999994,14.600000000000005
AK,99574.0,,,
AK,99575.0,,,
AK,99576.0,52.0,34.6,13.4
AK,99577.0,41.5,46.9,11.6
AK,99578.0,,,
AK,99579.0,,,
AK,99580.0,,,
