"zip","naics","est","n<5","n5_9","n10_19","n20_49","n50_99","n100_249","n250_499","n500_999","n1000"
"01001","------",473,230,80,67,57,24,13,"N","N","N"
"01001","23----",55,39,4,3,7,"N","N","N","N","N"
"01001","236///",7,5,"N","N","N","N","N","N","N","N"
"01001","2361//",6,5,"N","N","N","N","N","N","N","N"
"01001","23611/",6,5,"N","N","N","N","N","N","N","N"
"01001","236118",5,4,"N","N","N","N","N","N","N","N"
"01001","238///",47,33,3,"N",7,"N","N","N","N","N"
"01001","2381//",8,5,"N","N",3,"N","N","N","N","N"
"01001","23814/",4,3,"N","N","N","N","N","N","N","N"
"01001","238140",4,3,"N","N","N","N","N","N","N","N"
"01001","2382//",20,13,"N","N",3,"N","N","N","N","N"
"01001","23821/",6,5,"N","N","N","N","N","N","N","N"
"01001","238210",6,5,"N","N","N","N","N","N","N","N"
"01001","23822/",13,8,"N","N","N","N","N","N","N","N"
"01001","238220",13,8,"N","N","N","N","N","N","N","N"
"01001","2383//",8,6,"N","N","N","N","N","N","N","N"
"01001","23832/",4,3,"N","N","N","N","N","N","N","N"
"01001","238320",4,3,"N","N","N","N","N","N","N","N"
"01001","2389//",11,9,"N","N","N","N","N","N","N","N"
"01001","23899/",9,7,"N","N","N","N","N","N","N","N"
"01001","238990",9,7,"N","N","N","N","N","N","N","N"
"01001","31----",43,7,6,11,8,6,4,"N","N","N"
"01001","311///",5,"N","N","N","N","N","N","N","N","N"
"01001","3118//",3,"N","N","N","N","N","N","N","N","N"
"01001","31181/",3,"N","N","N","N","N","N","N","N","N"
"01001","323///",4,"N","N","N","N","N","N","N","N","N"
"01001","3231//",4,"N","N","N","N","N","N","N","N","N"
"01001","32311/",4,"N","N","N","N","N","N","N","N","N"
"01001","323111",3,"N","N","N","N","N","N","N","N","N"
"01001","332///",18,3,"N",6,4,"N","N","N","N","N"
"01001","3327//",12,"N","N",4,3,"N","N","N","N","N"
"01001","33271/",6,"N","N",3,"N","N","N","N","N","N"
"01001","332710",6,"N","N",3,"N","N","N","N","N","N"
"01001","33272/",6,"N","N","N",3,"N","N","N","N","N"
"01001","332721",5,"N","N","N",3,"N","N","N","N","N"
"01001","3328//",4,"N","N","N","N","N","N","N","N","N"
"01001","33281/",4,"N","N","N","N","N","N","N","N","N"
"01001","333///",4,"N","N","N","N","N","N","N","N","N"
"01001","337///",3,"N","N","N","N","N","N","N","N","N"
"01001","42----",37,11,9,7,8,"N","N","N","N","N"
"01001","423///",27,6,6,7,7,"N","N","N","N","N"
"01001","4231//",3,"N","N","N","N","N","N","N","N","N"
"01001","42312/",3,"N","N","N","N","N","N","N","N","N"
"01001","423120",3,"N","N","N","N","N","N","N","N","N"
"01001","4234//",5,"N","N","N","N","N","N","N","N","N"
"01001","4238//",14,4,3,"N",5,"N","N","N","N","N"
"01001","42383/",12,3,3,"N",5,"N","N","N","N","N"
"01001","423830",12,3,3,"N",5,"N","N","N","N","N"
"01001","424///",9,4,3,"N","N","N","N","N","N","N"
"01001","4244//",4,"N","N","N","N","N","N","N","N","N"
"01001","42449/",3,"N","N","N","N","N","N","N","N","N"
"01001","424490",3,"N","N","N","N","N","N","N","N","N"
"01001","4249//",3,"N","N","N","N","N","N","N","N","N"
"01001","44----",69,39,10,11,6,"N","N","N","N","N"
"01001","441///",8,5,"N","N","N","N","N","N","N","N"
"01001","4411//",8,5,"N","N","N","N","N","N","N","N"
"01001","44112/",6,4,"N","N","N","N","N","N","N","N"
"01001","441120",6,4,"N","N","N","N","N","N","N","N"
"01001","444///",7,"N","N",3,"N","N","N","N","N","N"
"01001","4441//",6,"N","N","N","N","N","N","N","N","N"
"01001","44419/",5,"N","N","N","N","N","N","N","N","N"
"01001","444190",5,"N","N","N","N","N","N","N","N","N"
"01001","445///",20,13,4,"N","N","N","N","N","N","N"
"01001","4451//",12,8,"N","N","N","N","N","N","N","N"
"01001","44511/",5,"N","N","N","N","N","N","N","N","N"
"01001","445110",5,"N","N","N","N","N","N","N","N","N"
"01001","44512/",7,6,"N","N","N","N","N","N","N","N"
"01001","445120",7,6,"N","N","N","N","N","N","N","N"
"01001","4453//",8,5,"N","N","N","N","N","N","N","N"
"01001","44531/",8,5,"N","N","N","N","N","N","N","N"
"01001","445310",8,5,"N","N","N","N","N","N","N","N"
"01001","446///",7,"N","N","N",3,"N","N","N","N","N"
"01001","4461//",7,"N","N","N",3,"N","N","N","N","N"
"01001","44611/",4,"N","N","N","N","N","N","N","N","N"
"01001","446110",4,"N","N","N","N","N","N","N","N","N"
"01001","447///",11,7,"N","N","N","N","N","N","N","N"
"01001","4471//",11,7,"N","N","N","N","N","N","N","N"
"01001","44711/",6,3,"N","N","N","N","N","N","N","N"
"01001","447110",6,3,"N","N","N","N","N","N","N","N"
"01001","44719/",5,4,"N","N","N","N","N","N","N","N"
"01001","447190",5,4,"N","N","N","N","N","N","N","N"
"01001","453///",5,3,"N","N","N","N","N","N","N","N"
"01001","454///",5,4,"N","N","N","N","N","N","N","N"
"01001","4543//",3,"N","N","N","N","N","N","N","N","N"
"01001","45439/",3,"N","N","N","N","N","N","N","N","N"
"01001","454390",3,"N","N","N","N","N","N","N","N","N"
"01001","48----",11,7,"N",3,"N","N","N","N","N","N"
"01001","484///",9,6,"N","N","N","N","N","N","N","N"
"01001","4841//",6,5,"N","N","N","N","N","N","N","N"
"01001","48411/",3,"N","N","N","N","N","N","N","N","N"
"01001","484110",3,"N","N","N","N","N","N","N","N","N"
"01001","48412/",3,3,"N","N","N","N","N","N","N","N"
"01001","484121",3,3,"N","N","N","N","N","N","N","N"
"01001","4842//",3,"N","N","N","N","N","N","N","N","N"
"01001","51----",7,4,"N","N","N","N","N","N","N","N"
"01001","517///",5,3,"N","N","N","N","N","N","N","N"
"01001","5173//",5,3,"N","N","N","N","N","N","N","N"
"01001","51731/",5,3,"N","N","N","N","N","N","N","N"
"01001","517311",5,3,"N","N","N","N","N","N","N","N"
"01001","52----",13,4,5,"N","N","N","N","N","N","N"
"01001","522///",7,"N",4,"N","N","N","N","N","N","N"
"01001","5221//",5,"N",4,"N","N","N","N","N","N","N"
"01001","52212/",4,"N",4,"N","N","N","N","N","N","N"
"01001","522120",4,"N",4,"N","N","N","N","N","N","N"
"01001","524///",5,"N","N","N","N","N","N","N","N","N"
"01001","5242//",5,"N","N","N","N","N","N","N","N","N"
"01001","52421/",5,"N","N","N","N","N","N","N","N","N"
"01001","524210",5,"N","N","N","N","N","N","N","N","N"
"01001","53----",14,7,6,"N","N","N","N","N","N","N"
"01001","531///",9,6,"N","N","N","N","N","N","N","N"
"01001","5311//",3,"N","N","N","N","N","N","N","N","N"
"01001","5312//",3,3,"N","N","N","N","N","N","N","N"
"01001","53121/",3,3,"N","N","N","N","N","N","N","N"
"01001","531210",3,3,"N","N","N","N","N","N","N","N"
"01001","5313//",3,"N","N","N","N","N","N","N","N","N"
"01001","53131/",3,"N","N","N","N","N","N","N","N","N"
"01001","532///",4,"N",3,"N","N","N","N","N","N","N"
"01001","54----",40,23,5,5,"N",5,"N","N","N","N"
"01001","541///",40,23,5,5,"N",5,"N","N","N","N"
"01001","5411//",8,7,"N","N","N","N","N","N","N","N"
"01001","54111/",8,7,"N","N","N","N","N","N","N","N"
"01001","541110",8,7,"N","N","N","N","N","N","N","N"
"01001","5412//",7,5,"N","N","N","N","N","N","N","N"
"01001","54121/",7,5,"N","N","N","N","N","N","N","N"
"01001","541211",4,3,"N","N","N","N","N","N","N","N"
"01001","541219",3,"N","N","N","N","N","N","N","N","N"
"01001","5413//",7,"N","N","N","N",3,"N","N","N","N"
"01001","54138/",5,"N","N","N","N",3,"N","N","N","N"
"01001","541380",5,"N","N","N","N",3,"N","N","N","N"
"01001","5415//",6,4,"N","N","N","N","N","N","N","N"
"01001","54151/",6,4,"N","N","N","N","N","N","N","N"
"01001","5416//",5,"N","N","N","N","N","N","N","N","N"
"01001","5419//",6,3,"N","N","N","N","N","N","N","N"
"01001","54199/",4,"N","N","N","N","N","N","N","N","N"
"01001","541990",4,"N","N","N","N","N","N","N","N","N"
"01001","56----",35,24,4,"N",3,"N","N","N","N","N"
"01001","561///",33,23,4,"N","N","N","N","N","N","N"
"01001","5617//",26,18,3,"N","N","N","N","N","N","N"
"01001","56171/",3,"N","N","N","N","N","N","N","N","N"
"01001","561710",3,"N","N","N","N","N","N","N","N","N"
"01001","56172/",5,4,"N","N","N","N","N","N","N","N"
"01001","561720",5,4,"N","N","N","N","N","N","N","N"
"01001","56173/",13,11,"N","N","N","N","N","N","N","N"
"01001","561730",13,11,"N","N","N","N","N","N","N","N"
"01001","56179/",3,"N","N","N","N","N","N","N","N","N"
"01001","561790",3,"N","N","N","N","N","N","N","N","N"
"01001","61----",4,"N","N","N","N","N","N","N","N","N"
"01001","611///",4,"N","N","N","N","N","N","N","N","N"
"01001","6116//",4,"N","N","N","N","N","N","N","N","N"
"01001","61162/",3,"N","N","N","N","N","N","N","N","N"
"01001","611620",3,"N","N","N","N","N","N","N","N","N"
"01001","62----",50,19,9,8,5,5,4,"N","N","N"
"01001","621///",26,12,8,"N",4,"N","N","N","N","N"
"01001","6211//",4,"N","N","N","N","N","N","N","N","N"
"01001","62111/",4,"N","N","N","N","N","N","N","N","N"
"01001","621111",4,"N","N","N","N","N","N","N","N","N"
"01001","6212//",5,"N",3,"N","N","N","N","N","N","N"
"01001","62121/",5,"N",3,"N","N","N","N","N","N","N"
"01001","621210",5,"N",3,"N","N","N","N","N","N","N"
"01001","6213//",12,7,3,"N","N","N","N","N","N","N"
"01001","62133/",3,3,"N","N","N","N","N","N","N","N"
"01001","621330",3,3,"N","N","N","N","N","N","N","N"
"01001","62134/",5,"N",3,"N","N","N","N","N","N","N"
"01001","621340",5,"N",3,"N","N","N","N","N","N","N"
"01001","6216//",4,"N","N","N","N","N","N","N","N","N"
"01001","62161/",4,"N","N","N","N","N","N","N","N","N"
"01001","621610",4,"N","N","N","N","N","N","N","N","N"
"01001","623///",13,"N","N",4,"N",4,4,"N","N","N"
"01001","6231//",5,"N","N","N","N","N",4,"N","N","N"
"01001","62311/",5,"N","N","N","N","N",4,"N","N","N"
"01001","623110",5,"N","N","N","N","N",4,"N","N","N"
"01001","6232//",4,"N","N",4,"N","N","N","N","N","N"
"01001","62321/",4,"N","N",4,"N","N","N","N","N","N"
"01001","623210",4,"N","N",4,"N","N","N","N","N","N"
"01001","6233//",4,"N","N","N","N",3,"N","N","N","N"
"01001","62331/",4,"N","N","N","N",3,"N","N","N","N"
"01001","623312",3,"N","N","N","N","N","N","N","N","N"
"01001","624///",11,7,"N","N","N","N","N","N","N","N"
"01001","6241//",4,3,"N","N","N","N","N","N","N","N"
"01001","6244//",6,4,"N","N","N","N","N","N","N","N"
"01001","62441/",6,4,"N","N","N","N","N","N","N","N"
"01001","624410",6,4,"N","N","N","N","N","N","N","N"
"01001","71----",10,5,"N","N","N","N","N","N","N","N"
"01001","713///",8,3,"N","N","N","N","N","N","N","N"
"01001","7139//",7,3,"N","N","N","N","N","N","N","N"
"01001","72----",40,15,7,5,12,"N","N","N","N","N"
"01001","722///",40,15,7,5,12,"N","N","N","N","N"
"01001","7224//",4,"N","N","N","N","N","N","N","N","N"
"01001","72241/",4,"N","N","N","N","N","N","N","N","N"
"01001","722410",4,"N","N","N","N","N","N","N","N","N"
"01001","7225//",35,14,6,4,11,"N","N","N","N","N"
"01001","72251/",35,14,6,4,11,"N","N","N","N","N"
"01001","722511",14,"N",4,3,6,"N","N","N","N","N"
"01001","722513",16,10,"N","N",3,"N","N","N","N","N"
"01001","722515",5,3,"N","N","N","N","N","N","N","N"
"01001","81----",42,24,11,3,"N","N","N","N","N","N"
"01001","811///",14,7,5,"N","N","N","N","N","N","N"
"01001","8111//",11,5,4,"N","N","N","N","N","N","N"
"01001","81111/",6,3,3,"N","N","N","N","N","N","N"
"01001","811111",5,3,"N","N","N","N","N","N","N","N"
"01001","81112/",4,"N","N","N","N","N","N","N","N","N"
"01001","811121",4,"N","N","N","N","N","N","N","N","N"
"01001","812///",16,12,3,"N","N","N","N","N","N","N"
"01001","8121//",10,7,"N","N","N","N","N","N","N","N"
"01001","81211/",7,5,"N","N","N","N","N","N","N","N"
"01001","812112",7,5,"N","N","N","N","N","N","N","N"
"01001","81219/",3,"N","N","N","N","N","N","N","N","N"
"01001","812199",3,"N","N","N","N","N","N","N","N","N"
"01001","8122//",3,3,"N","N","N","N","N","N","N","N"
"01001","81221/",3,3,"N","N","N","N","N","N","N","N"
"01001","812210",3,3,"N","N","N","N","N","N","N","N"
"01001","8129//",3,"N","N","N","N","N","N","N","N","N"
"01001","813///",12,5,3,"N","N","N","N","N","N","N"
"01001","8131//",6,3,"N","N","N","N","N","N","N","N"
"01001","81311/",6,3,"N","N","N","N","N","N","N","N"
"01001","813110",6,3,"N","N","N","N","N","N","N","N"
"01001","8139//",3,"N","N","N","N","N","N","N","N","N"
"01002","------",539,278,103,95,49,7,5,"N","N","N"
"01002","23----",26,14,7,5,"N","N","N","N","N","N"
"01002","236///",10,5,"N",4,"N","N","N","N","N","N"
"01002","2361//",8,4,"N",3,"N","N","N","N","N","N"
"01002","23611/",8,4,"N",3,"N","N","N","N","N","N"
"01002","236118",6,3,"N",3,"N","N","N","N","N","N"
"01002","238///",14,9,4,"N","N","N","N","N","N","N"
"01002","2381//",3,3,"N","N","N","N","N","N","N","N"
"01002","2382//",5,"N",3,"N","N","N","N","N","N","N"
"01002","23822/",3,"N",3,"N","N","N","N","N","N","N"
"01002","238220",3,"N",3,"N","N","N","N","N","N","N"
"01002","2383//",3,"N","N","N","N","N","N","N","N","N"
"01002","23832/",3,"N","N","N","N","N","N","N","N","N"
"01002","238320",3,"N","N","N","N","N","N","N","N","N"
"01002","2389//",3,3,"N","N","N","N","N","N","N","N"
"01002","31----",12,6,4,"N","N","N","N","N","N","N"
"01002","334///",4,3,"N","N","N","N","N","N","N","N"
"01002","3345//",3,"N","N","N","N","N","N","N","N","N"
"01002","33451/",3,"N","N","N","N","N","N","N","N","N"
"01002","42----",11,11,"N","N","N","N","N","N","N","N"
"01002","423///",6,6,"N","N","N","N","N","N","N","N"
"01002","4238//",3,3,"N","N","N","N","N","N","N","N"
"01002","42383/",3,3,"N","N","N","N","N","N","N","N"
"01002","423830",3,3,"N","N","N","N","N","N","N","N"
"01002","424///",5,5,"N","N","N","N","N","N","N","N"
"01002","44----",56,22,13,12,7,"N","N","N","N","N"
"01002","441///",4,"N","N","N","N","N","N","N","N","N"
"01002","442///",3,"N","N","N","N","N","N","N","N","N"
"01002","4422//",3,"N","N","N","N","N","N","N","N","N"
"01002","444///",5,"N","N","N","N","N","N","N","N","N"
"01002","4442//",3,"N","N","N","N","N","N","N","N","N"
"01002","445///",15,5,4,"N","N","N","N","N","N","N"
"01002","4451//",10,3,"N","N","N","N","N","N","N","N"
"01002","44511/",7,"N","N","N","N","N","N","N","N","N"
"01002","445110",7,"N","N","N","N","N","N","N","N","N"
"01002","44512/",3,"N","N","N","N","N","N","N","N","N"
"01002","445120",3,"N","N","N","N","N","N","N","N","N"
"01002","4453//",5,"N","N","N","N","N","N","N","N","N"
"01002","44531/",5,"N","N","N","N","N","N","N","N","N"
"01002","445310",5,"N","N","N","N","N","N","N","N","N"
"01002","446///",4,"N","N","N","N","N","N","N","N","N"
"01002","4461//",4,"N","N","N","N","N","N","N","N","N"
"01002","44611/",3,"N","N","N","N","N","N","N","N","N"
"01002","446110",3,"N","N","N","N","N","N","N","N","N"
"01002","447///",5,3,"N","N","N","N","N","N","N","N"
"01002","4471//",5,3,"N","N","N","N","N","N","N","N"
"01002","44711/",3,"N","N","N","N","N","N","N","N","N"
"01002","447110",3,"N","N","N","N","N","N","N","N","N"
"01002","451///",4,"N",3,"N","N","N","N","N","N","N"
"01002","4511//",3,"N","N","N","N","N","N","N","N","N"
"01002","453///",8,4,"N",3,"N","N","N","N","N","N"
"01002","4539//",3,"N","N","N","N","N","N","N","N","N"
"01002","454///",6,3,"N","N","N","N","N","N","N","N"
"01002","4541//",3,"N","N","N","N","N","N","N","N","N"
"01002","45411/",3,"N","N","N","N","N","N","N","N","N"
"01002","454110",3,"N","N","N","N","N","N","N","N","N"
"01002","4543//",3,"N","N","N","N","N","N","N","N","N"
"01002","45431/",3,"N","N","N","N","N","N","N","N","N"
"01002","454310",3,"N","N","N","N","N","N","N","N","N"
"01002","48----",4,"N","N","N","N","N","N","N","N","N"
"01002","51----",14,10,"N","N","N","N","N","N","N","N"
"01002","511///",6,3,"N","N","N","N","N","N","N","N"
"01002","5112//",4,"N","N","N","N","N","N","N","N","N"
"01002","51121/",4,"N","N","N","N","N","N","N","N","N"
"01002","511210",4,"N","N","N","N","N","N","N","N","N"
"01002","517///",3,"N","N","N","N","N","N","N","N","N"
"01002","5173//",3,"N","N","N","N","N","N","N","N","N"
"01002","51731/",3,"N","N","N","N","N","N","N","N","N"
"01002","517311",3,"N","N","N","N","N","N","N","N","N"
"01002","52----",25,14,6,3,"N","N","N","N","N","N"
"01002","522///",7,3,3,"N","N","N","N","N","N","N"
"01002","5221//",6,"N",3,"N","N","N","N","N","N","N"
"01002","52211/",3,"N","N","N","N","N","N","N","N","N"
"01002","522110",3,"N","N","N","N","N","N","N","N","N"
"01002","52212/",3,"N","N","N","N","N","N","N","N","N"
"01002","522120",3,"N","N","N","N","N","N","N","N","N"
"01002","523///",12,9,"N","N","N","N","N","N","N","N"
"01002","5239//",11,8,"N","N","N","N","N","N","N","N"
"01002","52392/",8,7,"N","N","N","N","N","N","N","N"
"01002","523920",8,7,"N","N","N","N","N","N","N","N"
"01002","52393/",3,"N","N","N","N","N","N","N","N","N"
"01002","523930",3,"N","N","N","N","N","N","N","N","N"
"01002","524///",6,"N","N","N","N","N","N","N","N","N"
"01002","5242//",6,"N","N","N","N","N","N","N","N","N"
"01002","52421/",6,"N","N","N","N","N","N","N","N","N"
