zip,walk_score
25245,0
25268,0
25286,0
25303,18
25311,2
25419,11
25434,0
25446,6
25106,0
25501,0
25507,56
25515,0
25520,-1
25535,12
25564,0
25601,3
25606,5
25608,9
25617,0
25621,0
25628,19
25632,0
25644,0
25671,0
25817,4
25818,18
25836,0
25843,0
25666,0
25650,0
26541,0
26576,0
26627,0
26629,0
26676,0
26680,0
26714,0
26726,1
26731,0
26753,0
26757,4
26804,0
26823,1
26855,0
26003,0
26031,0
26150,0
26152,0
26159,4
26180,0
26184,0
26217,14
26224,3
26259,6
26269,0
26278,0
26294,0
26327,0
28119,0
26034,0
26037,1
26062,26
26143,0
26149,3
26201,0
26266,0
26267,0
26292,11
26320,0
26347,6
26385,2
26411,0
26419,0
26430,0
26440,0
26447,0
26519,0
26554,1
26570,9
26587,0
26611,0
26623,7
26624,0
26443,0
26562,0
26621,0
26833,0
26169,0
26291,11
26408,7
26705,15
26707,0
26719,0
26801,0
26808,0
26814,1
26836,4
26852,0
26374,7
26537,2
26710,0
26716,2
26717,0
26743,7
26750,-1
26560,0
26335,0
26254,7
26563,7
26591,0
26178,0
26425,0
26559,2
26631,0
26030,3
26170,0
26268,0
17953,0
26321,0
26412,0
27890,3
27958,11
27101,10
27283,0
27834,23
27873,0
27925,0
27973,0
27110,44
27201,15
27205,3
27332,3
27340,-1
27517,2
27518,31
27519,4
27523,1
27527,0
27531,12
27537,0
27539,3
27556,13
27574,0
27617,27
27709,11
27825,0
27861,34
27879,11
27881,1
27978,0
27577,20
27016,0
27326,0
27356,2
27408,46
27504,21
27513,33
27520,0
27525,10
27530,0
27534,0
27536,50
27540,3
27560,-1
27587,0
27866,0
27892,0
27924,0
27928,0
27935,0
27937,0
27962,0
26234,0
27850,0
27871,12
27874,0
17025,18
28144,7
28150,0
28168,17
28173,59
28205,50
28214,8
28307,18
28315,0
28318,1
28320,1
28333,0
28730,0
28480,31
28715,0
28716,0
28729,10
28732,2
28733,0
28001,0
28007,2
28018,0
28020,3
28025,0
28072,41
28432,0
28394,0
28395,0
28411,8
28436,0
28441,10
28443,3
28452,9
28458,0
28463,0
