zip,weather_temperature,weather_precipitation
25245,54.4,44.6
25268,-1,46.2
25286,54.0,46.0
25303,56.6,42.9
25311,55.3,43.5
25419,53.4,38.2
25434,52.8,35.9
25446,53.2,37.4
25106,55.2,40.8
25501,54.0,43.6
25507,56.4,42.0
25515,55.2,40.8
25520,53.7,39.8
25535,54.3,40.5
25564,54.0,43.6
25601,56.7,46.0
25606,-1,46.4
25608,52.8,45.6
25617,-1,46.4
25621,52.8,45.6
25628,-1,46.4
25632,-1,46.4
25644,-1,46.4
25671,56.7,46.0
25817,53.7,47.7
25818,51.0,41.9
25836,51.0,41.9
25843,48.7,45.1
25666,54.2,46.3
25650,52.8,45.6
26541,52.8,42.0
26576,50.5,46.8
26627,54.0,46.8
26629,54.0,46.8
26676,50.7,50.5
26680,50.7,50.5
26714,51.7,34.5
26726,52.2,36.2
26731,54.0,31.8
26753,53.7,35.3
26757,52.9,34.8
26804,47.3,40.4
26823,52.2,-1
26855,52.8,32.3
26003,52.4,38.4
26031,-1,39.5
26150,54.4,39.5
26152,53.3,43.9
26159,54.3,42.3
26180,53.4,41.2
26184,52.7,44.7
26217,52.5,57.3
26224,48.8,67.5
26259,49.6,46.5
26269,50.0,49.8
26278,49.6,46.5
26294,-1,48.5
26327,52.2,44.8
28119,62.2,47.0
26034,51.9,37.7
26037,52.0,40.6
26062,52.8,38.7
26143,53.4,41.2
26149,52.2,43.6
26201,50.0,49.3
26266,53.4,49.2
26267,50.0,49.3
26292,-1,55.3
26320,52.2,43.6
26347,52.7,45.8
26385,52.2,43.0
26411,51.7,47.0
26419,54.2,47.4
26430,-1,45.4
26440,51.2,48.1
26447,-1,46.6
26519,-1,45.1
26554,52.8,43.4
26570,51.8,45.5
26587,51.8,45.5
26611,54.0,46.6
26623,54.3,46.5
26624,54.3,46.5
26443,54.0,46.6
26562,51.8,45.5
26621,54.0,46.8
26833,49.9,43.4
26169,51.8,44.5
26291,43.4,60.0
26408,52.7,45.8
26705,51.4,52.6
26707,47.4,49.7
26719,53.7,35.3
26801,51.1,38.7
26808,51.7,34.5
26814,47.3,40.4
26836,54.0,31.8
26852,52.9,34.8
26374,51.2,48.1
26537,-1,45.1
26710,52.9,34.8
26716,-1,55.3
26717,-1,40.0
26743,-1,40.0
26750,52.2,36.2
26560,52.8,43.4
26335,-1,45.4
26254,48.5,55.6
26563,50.5,46.8
26591,50.5,46.8
26178,53.5,43.9
26425,51.4,52.6
26559,52.8,43.4
26631,-1,46.6
26030,51.7,38.9
26170,53.5,43.2
26268,46.0,53.5
17953,-1,45.4
26321,54.0,46.6
26412,-1,45.4
27890,57.0,44.8
27958,61.0,49.0
27101,59.6,46.9
27283,58.9,45.1
27834,61.0,48.6
27873,60.8,46.8
27925,60.9,50.4
27973,61.0,49.0
27110,59.6,46.9
27201,58.9,45.1
27205,60.0,45.5
27332,59.7,48.2
27340,-1,45.1
27517,59.6,46.6
27518,59.8,47.4
27519,59.8,47.4
27523,59.8,47.4
27527,60.4,47.0
27531,61.8,49.5
27537,58.6,45.5
27539,59.4,46.3
27556,58.6,45.5
27574,57.6,44.5
27617,59.7,42.6
27709,59.7,42.6
27825,61.0,48.5
27861,59.0,47.7
27879,61.0,48.6
27881,59.0,47.7
27978,62.1,51.0
27577,60.6,47.4
27016,56.0,46.1
27326,57.5,44.9
27356,60.0,46.6
27408,57.7,43.4
27504,60.5,48.2
27513,59.8,47.4
27520,60.4,47.0
27525,58.8,45.1
27530,61.8,49.5
27534,61.8,49.5
27536,58.6,45.5
27540,58.7,-1
27560,59.7,42.6
27587,-1,44.9
27866,59.7,44.1
27892,61.0,48.5
27924,61.1,48.9
27928,61.2,52.1
27935,59.0,48.5
27937,59.0,48.5
27962,61.2,52.1
26234,50.9,53.9
27850,58.8,45.9
27871,61.0,48.5
27874,60.3,46.2
17025,52.0,43.6
28144,60.0,45.1
28150,59.3,48.0
28168,59.0,47.1
28173,60.7,43.8
28205,60.8,44.2
28214,59.9,41.6
28307,62.5,44.8
28315,61.2,48.2
28318,60.5,48.2
28320,62.0,46.9
28333,63.0,52.2
28730,55.4,47.8
28480,64.0,57.6
28715,54.6,41.8
28716,53.6,41.3
28729,54.5,63.5
28732,55.6,46.8
28733,57.8,56.1
28001,60.2,47.2
28007,61.6,43.7
28018,-1,50.0
28020,-1,50.0
28025,60.2,46.1
28072,60.0,45.1
28432,63.1,49.8
28394,61.6,49.2
28395,61.6,47.1
28411,62.0,51.1
28436,61.8,48.7
28441,61.4,47.7
28443,61.8,55.3
28452,61.9,54.1
