zip,property_value_avg
10025,1132864
60657,490918
10023,1044671
77494,350547
60614,633927
77449,202101
10002,1034938
77084,201124
79936,146623
60640,320063
11226,652054
10467,187733
78660,310470
94109,1144663
10016,717177
37013,258236
32162,293671
60647,486401
11201,881391
11235,365058
11375,448765
90250,740082
78130,255207
37211,295409
10009,936996
77573,291803
60618,491323
77584,281845
10011,969064
20002,738493
10128,1040960
28269,253345
78613,367945
77433,296882
78572,132946
30349,175827
79912,209284
75052,247189
94565,609516
37042,174337
11206,627705
73099,185194
90046,1551230
20009,640128
77429,272825
78245,202919
77479,388941
10462,196495
10456,303108
60613,342165
30044,240345
10019,993844
63376,232493
10003,999568
28277,407191
60625,405259
30043,275667
11230,473256
11212,499169
77036,146717
10463,293641
60629,220450
11209,465235
30096,269901
11221,1063572
7030,710250
98052,956411
30024,396203
60610,426768
78704,721482
77077,314136
85032,329485
77379,272601
75287,352214
10024,1313512
78666,254471
21234,233570
33160,370172
23464,293801
34787,368057
78521,96928
8701,363823
75243,227778
11214,487955
28027,279814
11207,512937
94501,1136075
2169,504511
33411,327304
11229,559888
60619,169745
78745,405784
94110,1530233
23462,237036
33025,276647
10458,186817
75067,276705
90034,1491475
80134,558150
33139,319152
60611,465177
95630,629509
48197,253054
44107,226066
66062,303179
11211,1013681
44035,127432
85281,315335
11377,441741
10453,426017
90805,540537
7302,774350
90650,549400
90044,532204
85710,225771
92683,770166
85225,326212
11234,638519
30281,201955
37075,327452
11355,475299
11238,738563
78641,325221
10314,556591
19143,162016
79938,169019
91709,743763
11215,1076955
60617,147162
87114,258955
32210,167751
43081,268561
94558,752622
90026,1032052
76063,311599
77459,288797
91910,605151
27587,355898
30040,367151
93722,289628
97229,626905
6010,207094
17603,209806
76028,251781
33908,269886
43123,233098
75056,340019
89108,253914
85308,349623
78577,114966
78240,216122
94533,437879
87111,311626
14850,281039
33024,320765
98012,686757
48180,130717
77845,271307
30318,285768
44060,204929
85364,175888
95608,479393
43055,158265
11385,699324
33647,323562
92677,933120
44256,265882
2148,531694
15601,215329
80013,400071
90066,1653115
20906,384393
47906,251048
65807,158090
6902,425742
45011,242953
30188,303842
92336,524103
99301,303760
10468,203202
11373,395353
65203,257413
28078,351705
60620,174501
46307,259112
95823,342365
92345,308404
27610,222231
34135,304058
87120,241175
27410,262159
75035,416664
98103,877623
77450,278068
95747,546732
89121,255406
27406,153393
92804,673586
8753,296438
75228,224587
92126,721767
10028,1249277
60634,314974
20011,737436
43130,179093
76244,288497
92503,457169
91911,573987
29732,238301
32218,215802
22191,361432
28314,138353
32256,226675
11233,845771
23320,277439
40475,205257
21740,192500
92101,638343
90019,1217033
34711,298217
30052,255900
38401,237688
77095,245583
7002,420206
30041,407633
60016,279104
33009,222379
94536,1134073
89052,455861
74012,182903
10457,378663
80634,370832
43026,273441
92592,547287
43230,253586
89117,358131
30080,337335
20001,742285
27834,124784
90280,514161
29072,246789
46227,177259
32244,189250
21117,295948
10027,602206
19111,228107
90201,516970
91730,520793
48103,405492
11236,567061
75206,463852
90004,1442060
37128,294240
92109,1067419
30062,380407
60628,132810
7093,432712
32822,214209
30331,205156
75217,160266
2360,431769
34953,260730
37130,251561
33186,342097
2155,662853
10701,536310
33012,267071
91342,613143
90706,591238
92335,414861
95123,1046815
92021,569811
32174,275095
22304,406474
87121,181924
11372,416961
93065,656499
22193,375318
27858,177513
45840,174072
60649,160149
33063,215604
27703,256936
23454,334768
60626,230430
33064,250049
48185,173110
92627,950489
33027,334166
85705,186924
33311,240067
8831,401959
20147,576667
44130,165768
90025,1143422
20878,580485
43228,162580
30022,453201
30004,483019
23666,205850
85142,402464
98682,386763
95035,1140972
91710,568394
90011,505517
23223,196149
11218,641570
27713,295274
77082,197006
44077,178800
94544,728622
43701,121007
29730,193481
11223,801423
60622,541094
29464,524738
60616,372610
27284,212626
35242,395474
58103,203892
80015,454286
20019,406329
55901,252560
10021,1016427
80525,455343
30127,248769
97402,316148
33313,110580
71913,178107
90027,1616291
37064,517337
37066,290188
98115,912260
42101,141653
93727,307372
94568,1000772
19124,137667
95051,1493310
91335,633286
95687,474198
32828,332481
32225,271905
76116,226728
90731,691671
77840,207576
77007,424283
85251,418804
23452,275152
75150,201642
30253,219725
37122,358170
30135,223033
73160,161390
89031,294945
93550,327667
43068,211447
93536,414749
29681,275601
60615,281870
7087,434099
40601,159763
33319,146583
78501,136941
98122,851231
21215,151901
63123,185519
14580,240516
92630,794836
66061,295538
14221,283151
23451,470329
94509,382416
11208,600770
11225,797536
95758,462492
93306,242294
60641,346910
45601,131898
78249,241297
89123,335321
21122,357752
89148,354093
93307,211865
77057,242158
19446,360036
93535,308065
78254,246341
94122,1490753
33467,342036
11101,842834
77521,197239
93274,248824
27707,293959
46143,233864
34293,276948
29445,217199
98133,664733
33321,221408
75070,348927
60660,270066
28205,338612
75002,328428
60453,230100
2301,366565
75043,223800
93257,230882
19020,307524
37167,268963
28601,193777
99208,351918
31088,152064
11204,869549
93230,271915
11213,834907
32246,233071
19720,211891
48823,235796
70726,187263
21222,161565
29579,225408
31419,191954
19120,140547
11219,762660
38655,204027
22204,599978
27519,462006
37040,197757
27705,325531
77346,233064
93309,248786
85282,344463
20874,338204
29223,150594
30909,186453
29485,253989
28216,221449
10032,597602
94541,728893
94538,1056237
95076,662648
36117,187602
78748,361924
76179,242366
90802,448535
33157,379798
85383,464198
78251,210817
60085,147340
78758,377334
94513,734257
28215,233449
32765,346993
83646,423508
17331,201174
60056,329338
32608,246721
90631,693504
31907,110204
30263,215003
92104,711492
77375,240083
20852,519819
37421,236430
60637,179525
63021,289480
92647,854256
37129,284081
87124,228356
30906,98897
32792,291478
20020,425180
33511,255350
15301,183183
85204,278330
92154,559928
59901,360116
77083,197717
75211,190371
30066,305399
21224,195005
97045,471895
92618,955547
85345,260260
78741,349657
92115,624808
83301,246703
63129,255942
6516,223567
1960,525726
95355,385312
89110,249480
11368,403507
43015,274096
37027,707990
85301,205718
85022,338933
11203,615699
55124,326372
94587,991213
60608,307852
78664,274112
33578,237467
33458,403363
74133,213334
95670,404160
11220,512020
21061,298813
19104,210778
92646,955104
10031,542570
42701,188339
11216,1026890
98632,303421
28227,254532
23322,388144
79924,123752
92620,1017618
38305,172841
78753,323278
70072,175773
96706,675144
32825,277244
97401,412397
19067,430150
75098,303959
19134,95693
60148,283157
73013,237143
30101,299483
89074,350777
30058,178170
32303,164847
33414,410772
95014,2306448
98208,549989
53704,257806
92376,406499
43229,194374
95112,929738
78253,279597
14094,174295
85008,273116
28210,402911
45013,177872
45044,168531
30083,180581
89103,199416
32771,254693
12180,197225
94080,1127163
92648,1118007
92130,1300520
80016,606732
27265,203913
92105,532089
33433,321943
84404,307339
79424,233808
47150,167576
41042,195291
92122,811199
77373,180778
67401,133941
23455,332712
20910,641787
29483,251921
39759,182490
85255,825181
8759,199926
2135,529747
95648,525958
19148,261263
22407,322985
29588,207221
33015,291340
11354,427407
30047,266216
48439,210785
92563,496636
77070,227897
27407,166903
53711,346183
75204,398716
7305,412129
7047,433669
90036,1840453
94112,1202270
33463,265306
75068,297589
76137,240185
89147,305666
78759,565332
45140,296900
28025,231208
94087,2136301
27603,280204
30075,468217
2151,475655
97124,450676
10014,1095777
95125,1441796
38654,245702
90640,621521
75071,358337
33436,287762
98109,775347
1201,200658
83709,392064
63301,219557
8873,378822
20904,482370
6511,232702
19702,265659
98034,764397
76051,389239
54601,184966
34668,151851
78640,242912
92562,501088
96815,470429
19131,157759
6457,232923
2780,352782
17601,286476
19711,315333
47130,174246
27529,258489
79928,163835
8527,382145
22192,398844
33141,286731
22201,732762
30067,314079
30114,306855
59102,280839
60004,364779
45040,329510
